포인트 WKT,시설물 ID,시군구 코,시군구명,읍면동 코,읍면동명,시설코드,안심귀갓길,안심귀갓_1,설치대수,비고,관리기관,전화번호,조성년월,세부위치,데이터 기,이미지명,center_lon,center_lat,geometry_wkt,source_dataset
POINT(126.939803 37.484388),1162010100_02_P01,1162000000,서울특별시 관악구,1162010100,봉천동,301,1162010100_02,관악안심02,1,,,,,봉일공인중개사사무소 옆,20220923,1162010100_02_P01_301.jpeg,126.939803,37.484388,POINT (126.939803 37.484388),Seoul Safe Route Facilities SHP
POINT(126.939803 37.484388),1162010100_02_P02,1162000000,서울특별시 관악구,1162010100,봉천동,302,1162010100_02,관악안심02,1,방범용 CCTV,관악구청 도로관리과장,02-879-6782,,봉일공인중개사사무소 옆,20220923,1162010100_02_P02_302.jpeg,126.939803,37.484388,POINT (126.939803 37.484388),Seoul Safe Route Facilities SHP
POINT(126.939803 37.484388),1162010100_02_P03,1162000000,서울특별시 관악구,1162010100,봉천동,305,1162010100_02,관악안심02,1,,,,,봉일공인중개사사무소 옆,20220923,1162010100_02_P03_305.jpeg,126.939803,37.484388,POINT (126.939803 37.484388),Seoul Safe Route Facilities SHP
POINT(126.939803 37.484388),1162010100_02_P04,1162000000,서울특별시 관악구,1162010100,봉천동,307,1162010100_02,관악안심02,1,,관악경찰서 당곡지구대,02-870-0810,,봉일공인중개사사무소 옆,20220923,1162010100_02_P04_307.jpeg,126.939803,37.484388,POINT (126.939803 37.484388),Seoul Safe Route Facilities SHP
POINT(126.939877 37.484435),1162010100_02_P05,1162000000,서울특별시 관악구,1162010100,봉천동,304,1162010100_02,관악안심02,1,,,,,봉일공인중개사사무소 옆,20220923,1162010100_02_P05_304.jpeg,126.939877,37.484435,POINT (126.939877 37.484435),Seoul Safe Route Facilities SHP
POINT(126.939926 37.484559),1162010100_02_P06,1162000000,서울특별시 관악구,1162010100,봉천동,305,1162010100_02,관악안심02,1,,,,,봉천로29길6 앞,20220923,1162010100_02_P06_305.jpeg,126.939926,37.484559,POINT (126.939926 37.484559),Seoul Safe Route Facilities SHP
POINT(126.940067 37.484747),1162010100_02_P07,1162000000,서울특별시 관악구,1162010100,봉천동,305,1162010100_02,관악안심02,1,,,,,CU관악봉천점 앞,20220923,1162010100_02_P07_305.jpeg,126.940067,37.484747,POINT (126.940067 37.484747),Seoul Safe Route Facilities SHP
POINT(126.940067 37.484747),1162010100_02_P08,1162000000,서울특별시 관악구,1162010100,봉천동,302,1162010100_02,관악안심02,1,방범용 CCTV,관악구청 도로관리과장,02-879-6782,,CU관악봉천점 앞,20220923,1162010100_02_P08_302.jpeg,126.940067,37.484747,POINT (126.940067 37.484747),Seoul Safe Route Facilities SHP
POINT(126.940166 37.484732),1162010100_02_P09,1162000000,서울특별시 관악구,1162010100,봉천동,305,1162010100_02,관악안심02,1,,,,,영진철물 옆,20220923,1162010100_02_P09_305.jpeg,126.940166,37.484732,POINT (126.940166 37.484732),Seoul Safe Route Facilities SHP
POINT(126.940451 37.484932),1162010100_02_P10,1162000000,서울특별시 관악구,1162010100,봉천동,305,1162010100_02,관악안심02,1,,,,,다온하우스 옆,20220923,1162010100_02_P10_305.jpeg,126.940451,37.484932,POINT (126.940451 37.484932),Seoul Safe Route Facilities SHP
