길이,시군구 코,시군구명,읍면동 코,읍면동명,안심벨,CCTV,안심귀갓길,안심귀갓_1,보안등,안심귀갓_2,112 위치신,기타 시설,안심귀갓_3,안심귀갓_4,조성년월,세부위치,비고,데이터 기,center_lon,center_lat,geometry_wkt,source_dataset
433.15,1162000000,서울특별시 관악구,1162010100,봉천동,3,8,,5,21.0,,4,,1162010100_02,관악안심02,2014,봉천로29길,,20220923,126.942126,37.485548,"MULTILINESTRING ((126.94014 37.484798, 126.939853 37.484398), (126.94014 37.484798, 126.94014 37.484798), (126.94014 37.484798, 126.940473 37.48498, 126.940817 37.485156, 126.941037 37.485237, 126.942126 37.485548, 126.942784 37.485733, 126.942878 37.485751, 126.943465 37.48593, 126.943794 37.486023, 126.944086 37.486118, 126.944098 37.486131), (126.94014 37.484798, 126.94014 37.484798))",Seoul Safe Route Links SHP
267.27,1162000000,서울특별시 관악구,1162010100,봉천동,3,6,,4,12.0,,4,,1162010100_03,관악안심03,2014,봉천로23길,,20220921,126.9357109999,37.4875339999,"LINESTRING (126.936251 37.488724, 126.936092 37.488323, 126.93602 37.488178, 126.935948 37.48805, 126.935898 37.487823, 126.935792 37.487657, 126.935711 37.487534, 126.935387 37.487084, 126.935282 37.486936, 126.934992 37.486553)",Seoul Safe Route Links SHP
292.38,1162000000,서울특별시 관악구,1162010100,봉천동,3,9,,2,15.0,,4,,1162010100_05,관악안심05,2014,남부순환로,,20220923,126.9651589999,37.477254,"MULTILINESTRING ((126.963731 37.477342, 126.963676 37.477277, 126.963651 37.477258), (126.963731 37.477342, 126.963957 37.477714, 126.964165 37.477645, 126.965159 37.477254, 126.965314 37.47736, 126.965597 37.477551, 126.965884 37.47774), (126.965884 37.47774, 126.966166 37.477934))",Seoul Safe Route Links SHP
358.24,1162000000,서울특별시 관악구,1162010100,봉천동,3,5,,4,18.0,,2,,1162010100_08,관악안심08,2014,장군봉길,,20220927,126.93962,37.481349,"MULTILINESTRING ((126.938863 37.480007, 126.93872 37.479806), (126.940511 37.482697, 126.940188 37.48228, 126.940033 37.482036, 126.939863 37.481784, 126.93962 37.481349, 126.939303 37.480797, 126.939114 37.480436, 126.93899 37.480223, 126.938863 37.480007))",Seoul Safe Route Links SHP
489.77,1162000000,서울특별시 관악구,1162010100,봉천동,4,12,,5,19.0,,7,3,1162010100_11,관악안심11,2014,봉천로49길,,20220920,126.9551569999,37.4882169999,"MULTILINESTRING ((126.953236 37.488937, 126.952893 37.488993), (126.955186 37.486709, 126.955233 37.487061, 126.95523 37.487178, 126.955408 37.487602, 126.955466 37.487633, 126.955157 37.488217, 126.954672 37.488647, 126.954393 37.488763, 126.953817 37.488843, 126.953236 37.488937), (126.955186 37.486709, 126.95502 37.485961))",Seoul Safe Route Links SHP
285.1,1162000000,서울특별시 관악구,1162010100,봉천동,3,8,,4,21.0,,5,1,1162010100_12,관악안심12,2014,온천로39길,,20220927,126.952019,37.48358,"LINESTRING (126.951876 37.482447, 126.951926 37.482759, 126.951954 37.48291, 126.95199 37.483073, 126.952012 37.483236, 126.952022 37.483399, 126.952019 37.48358, 126.952424 37.484095, 126.9527 37.484344, 126.95289 37.484541, 126.953059 37.484739)",Seoul Safe Route Links SHP
564.63,1162000000,서울특별시 관악구,1162010200,신림동,3,11,,5,25.0,1,19,,1162010200_01,관악안심01,2014,신림동7길,,20220915,126.9260069999,37.487065,"MULTILINESTRING ((126.926709 37.485169, 126.926518 37.485707, 126.926338 37.486164, 126.926169 37.48661, 126.926007 37.487065, 126.925859 37.487548, 126.925733 37.487998, 126.925596 37.488435, 126.92547 37.488878, 126.925409 37.489096, 126.925344 37.489365), (126.925391 37.4897, 126.925344 37.489365), (126.926709 37.485169, 126.926845 37.48477))",Seoul Safe Route Links SHP
229.59,1162000000,서울특별시 관악구,1162010200,신림동,2,3,4,,13.0,,2,,1162010200_04,관악안심04,2022,신림로46길,,20220921,126.9344729999,37.4788429999,"MULTILINESTRING ((126.933535 37.478125, 126.93411 37.478617), (126.935424 37.479232, 126.935347 37.479201, 126.935088 37.479087, 126.934794 37.478972, 126.934473 37.478843, 126.93423 37.478695, 126.93411 37.478617), (126.935625 37.479308, 126.935424 37.479232))",Seoul Safe Route Links SHP
505.56,1162000000,서울특별시 관악구,1162010200,신림동,3,12,,4,21.0,,4,,1162010200_06,관악안심06,2014,난곡로76길,,20220927,126.916701,37.4868219999,"MULTILINESTRING ((126.913789 37.486278, 126.913982 37.486312), (126.913982 37.486312, 126.914291 37.486367, 126.914589 37.48642, 126.914964 37.486485, 126.915332 37.486562, 126.915394 37.486572, 126.915676 37.486627, 126.915889 37.486664, 126.916202 37.486726, 126.916701 37.486822, 126.917018 37.486875, 126.91732 37.486927, 126.917684 37.486992, 126.918028 37.487057, 126.918101 37.48707, 126.918233 37.487095, 126.918573 37.487153, 126.918801 37.487197, 126.918871 37.487206), (126.918875 37.487203, 126.919368 37.487279))",Seoul Safe Route Links SHP
343.84,1162000000,서울특별시 관악구,1162010200,신림동,2,8,,4,13.0,,4,,1162010200_07,관악안심07,2014,남부순환로194길,,20220927,126.934938,37.4830109999,"MULTILINESTRING ((126.934832 37.484241, 126.934856 37.483923, 126.934883 37.483621, 126.934914 37.483316, 126.934938 37.483011, 126.934971 37.482517, 126.934883 37.482405, 126.934351 37.481946, 126.934275 37.481865, 126.93425 37.481805), (126.934832 37.484241, 126.934791 37.484689))",Seoul Safe Route Links SHP
398.73,1162000000,서울특별시 관악구,1162010200,신림동,4,9,,2,22.0,,4,,1162010200_09,관악안심09,2014,신림로23길,,20220926,126.934685,37.4691609999,"MULTILINESTRING ((126.934323 37.467426, 126.934378 37.467713), (126.934378 37.467713, 126.934438 37.467993, 126.934499 37.468265, 126.934556 37.468557, 126.934624 37.468843, 126.934685 37.469161, 126.934724 37.469295, 126.934789 37.469613, 126.934889 37.470079, 126.934985 37.470511), (126.934985 37.470511, 126.935083 37.470966))",Seoul Safe Route Links SHP
313.85,1162000000,서울특별시 관악구,1162010200,신림동,2,1,,3,12.0,,3,,1162010200_10,관악안심10,2014,신림로22길,,20220926,126.9356549999,37.4728029999,"MULTILINESTRING ((126.93535 37.471381, 126.935444 37.471721, 126.935476 37.471873, 126.935555 37.472253, 126.935655 37.472803, 126.935744 37.473321, 126.93579 37.473598), (126.935773 37.47418, 126.93579 37.473598))",Seoul Safe Route Links SHP
345.26,1162000000,서울특별시 관악구,1162010200,신림동,2,5,,4,13.0,,5,,1162010200_13,관악안심13,2014,남부순환로161길,,20220919,126.9198389999,37.4846229999,"MULTILINESTRING ((126.918176 37.485583, 126.918755 37.485227, 126.919034 37.485067, 126.919839 37.484623, 126.920118 37.484475, 126.920954 37.48402), (126.920951 37.484015, 126.921372 37.483798))",Seoul Safe Route Links SHP
535.13,1162000000,서울특별시 관악구,1162010200,신림동,4,12,,5,24.0,,5,,1162010200_14,관악안심14,2014,법원단지길,,20220920,126.922448,37.4747419999,"MULTILINESTRING ((126.920103 37.473311, 126.920361 37.473563, 126.920701 37.473753), (126.924708 37.475993, 126.924471 37.475853, 126.924227 37.475721, 126.923861 37.475523, 126.92352 37.475334, 126.923162 37.475125, 126.922806 37.474931, 126.922448 37.474742, 126.922103 37.474547, 126.921748 37.474346, 126.921404 37.474152, 126.921041 37.473951, 126.920701 37.473753), (126.924708 37.475993, 126.924972 37.476153))",Seoul Safe Route Links SHP
329.12,1162000000,서울특별시 관악구,1162010200,신림동,2,7,,3,17.0,,4,,1162010200_15,관악안심15,2014,난곡로26길,,20220928,126.9217283291,37.4701275359,"MULTILINESTRING ((126.919948 37.470639, 126.920436 37.470649, 126.920557 37.470604, 126.920837 37.470366, 126.921131 37.470247, 126.921426 37.470169, 126.921728 37.470128, 126.922036 37.470156, 126.922359 37.47019, 126.922615 37.470166, 126.92284 37.470116, 126.923047 37.470048, 126.923091 37.470028), (126.923091 37.470028, 126.923406 37.469924))",Seoul Safe Route Links SHP
419.64,1162000000,서울특별시 관악구,1162010200,신림동,1,6,,5,15.0,,4,,1162010200_16,관악안심16,2014,난향7길,,20220922,126.915728,37.4620609999,"MULTILINESTRING ((126.915293 37.459928, 126.915274 37.460228, 126.915356 37.460725), (126.915356 37.460725, 126.915481 37.4613, 126.915478 37.461532, 126.915517 37.461592, 126.915728 37.462061, 126.915891 37.462296, 126.916101 37.462516), (126.9172 37.463086, 126.916672 37.462785, 126.916357 37.462686, 126.916101 37.462516))",Seoul Safe Route Links SHP
546.25,1162000000,서울특별시 관악구,1162010200,신림동,,11,,5,18.0,,8,,1162010200_17,관악안심17,2014,난곡로64길,,20220928,126.918554,37.4818789999,"MULTILINESTRING ((126.920871 37.482309, 126.920232 37.4822, 126.919741 37.482101, 126.919679 37.482089, 126.919397 37.482043, 126.919095 37.481978, 126.918554 37.481879, 126.917765 37.481749, 126.917014 37.481612, 126.916616 37.481535, 126.915298 37.481283), (126.921302 37.482406, 126.920862 37.482314))",Seoul Safe Route Links SHP
291.11,1162000000,서울특별시 관악구,1162010200,신림동,1,7,,4,12.0,,5,,1162010200_20,관악안심20,2019,남부순환로143길,,20220919,126.9105799999,37.4827209999,"MULTILINESTRING ((126.910242 37.483907, 126.91058 37.482721), (126.910832 37.481827, 126.91058 37.482721), (126.910832 37.481827, 126.910977 37.48135))",Seoul Safe Route Links SHP
442.75,1162000000,서울특별시 관악구,1162010300,남현동,4,1,,4,17.0,,4,1,1162010300_21,관악안심21,2014,남현2길,,20220922,126.9773749999,37.475886,"MULTILINESTRING ((126.975007 37.475592, 126.975218 37.475643), (126.975218 37.475643, 126.975458 37.475683, 126.975577 37.4757, 126.975803 37.475737, 126.976036 37.475775, 126.976111 37.475783, 126.976309 37.475818, 126.976822 37.475921, 126.977375 37.475886, 126.977712 37.475869, 126.978337 37.475878, 126.978976 37.475878, 126.979575 37.475875), (126.979575 37.475875, 126.979962 37.475868))",Seoul Safe Route Links SHP
