light_id,lat,lon,facility_group,filter_note,center_lon,center_lat,geometry_wkt,source_dataset
보라매01-09,37.484708,126.903384,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.903384,37.484708,POINT (126.903384 37.484708),Seoul Streetlight CSV
보라매01-10,37.484717,126.90382,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.90382,37.484717,POINT (126.90382 37.484717),Seoul Streetlight CSV
보라매01-11,37.484685,126.904222,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.904222,37.484685,POINT (126.904222 37.484685),Seoul Streetlight CSV
보라매01-12,37.484691,126.904606,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.904606,37.484691,POINT (126.904606 37.484691),Seoul Streetlight CSV
보라매01-13,37.484671,126.905004,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.905004,37.484671,POINT (126.905004 37.484671),Seoul Streetlight CSV
보라매01-14,37.48468,126.905418,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.905418,37.48468,POINT (126.905418 37.48468),Seoul Streetlight CSV
보라매01-15,37.484835,126.905403,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.905403,37.484835,POINT (126.905403 37.484835),Seoul Streetlight CSV
보라매01-16,37.484826,126.905017,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.905017,37.484826,POINT (126.905017 37.484826),Seoul Streetlight CSV
보라매01-17,37.484842,126.904627,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.904627,37.484842,POINT (126.904627 37.484842),Seoul Streetlight CSV
보라매01-18,37.484844,126.904244,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.904244,37.484844,POINT (126.904244 37.484844),Seoul Streetlight CSV
보라매01-19,37.484864,126.903862,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.903862,37.484864,POINT (126.903862 37.484864),Seoul Streetlight CSV
보라매01-20,37.484859,126.903438,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.903438,37.484859,POINT (126.903438 37.484859),Seoul Streetlight CSV
보라매02-01,37.484695,126.9058,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.9058,37.484695,POINT (126.9058 37.484695),Seoul Streetlight CSV
보라매02-02,37.484723,126.906195,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.906195,37.484723,POINT (126.906195 37.484723),Seoul Streetlight CSV
보라매02-03,37.484787,126.906518,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.906518,37.484787,POINT (126.906518 37.484787),Seoul Streetlight CSV
보라매02-04,37.48486,126.906867,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.906867,37.48486,POINT (126.906867 37.48486),Seoul Streetlight CSV
보라매02-05,37.484973,126.907237,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.907237,37.484973,POINT (126.907237 37.484973),Seoul Streetlight CSV
보라매02-06,37.485048,126.90755,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.90755,37.485048,POINT (126.90755 37.485048),Seoul Streetlight CSV
보라매02-07,37.485151,126.90788,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.90788,37.485151,POINT (126.90788 37.485151),Seoul Streetlight CSV
보라매02-08,37.485224,126.908214,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.908214,37.485224,POINT (126.908214 37.485224),Seoul Streetlight CSV
보라매02-09,37.485333,126.908534,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.908534,37.485333,POINT (126.908534 37.485333),Seoul Streetlight CSV
보라매02-10,37.48542,126.908911,streetlight,Spatially filtered from citywide CSV by Gwanak boundary.,126.908911,37.48542,POINT (126.908911 37.48542),Seoul Streetlight CSV
