권역,출처,매물ID,매물URL,매물명,주소,위도,경도,주거유형,보증금_만원,월세_만원,관리비_만원,가격표기,층정보,계약면적_m2,전용면적_m2,방향,확인일자,설명,원문태그,서울대거리_m,기준역거리_m,가까운기준점,편의성,편의성_라벨,안전도,공동현관_비밀번호,지상층여부,대로변_가까움,CCTV,관리인_상주,가로등,safety_score_100,safety_score_10,safety,안전최종,안전도,안전등급,안전_공공환경,안전_건물보정,안전_cctv,가까운_cctv_m,cctv_반경내개수,안전_lighting,가까운_lighting_m,lighting_반경내개수,안전_police,가까운_police_m,police_반경내개수,안전_safe_route,가까운_safe_route_m,safe_route_반경내개수,안전_emergency,가까운_emergency_m,emergency_반경내개수,안전_백분위,name,address,lat,lng,deposit,monthly_rent,maintenance_fee,convenience,monthly_transport
서울대입구역,synthetic_market_model,SYN0001,,봉천동 원룸 001,서울 관악구 봉천동,37.4783088,126.9551304,원룸,950,62,10,월세 950/62,4/5층,26.9,21.2,남향,2026.06.09,신축/준신축; 엘리베이터; 주차 가능; 복층; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 엘리베이터; 주차 가능; 복층,2043,387,서울대입구역,10,신축/준신축; 엘리베이터; 주차 가능; 복층; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,X,O,O,O,X,O,30.56,3.06,3.06,3.06,3.06,D,1.74,5.5,0.0,457.1,0,0.0,550.3,0,8.7,217.6,2,0.0,542.4,0,0.0,457.1,0,20.0,봉천동 원룸 001,서울 관악구 봉천동,37.4783088,126.9551304,950,62,10,10,2.0
서울대입구역,synthetic_market_model,SYN0002,,봉천동 원룸 002,서울 관악구 봉천동,37.4792744,126.9475067,원룸,1400,66,6,"월세 1,400/66",반지하/5층,20.4,16.2,남서향,2026.05.18,옵션 언급; 엘리베이터; 채광 양호; 즉시입주 가능; 역세권 도보권,옵션 언급; 엘리베이터; 채광 양호; 즉시입주 가능,2201,507,서울대입구역,8,옵션 언급; 엘리베이터; 채광 양호; 즉시입주 가능; 역세권 도보권,,O,X,X,X,X,O,26.41,2.64,2.64,2.64,2.64,D,0.83,6.0,0.0,525.0,0,0.0,525.0,0,4.16,680.0,3,0.0,522.6,0,0.0,474.9,0,12.2,봉천동 원룸 002,서울 관악구 봉천동,37.4792744,126.9475067,1400,66,6,8,2.0
서울대입구역,synthetic_market_model,SYN0003,,봉천동 투룸 003,서울 관악구 봉천동,37.4821811,126.9604439,투룸,1100,67,6,"월세 1,100/67",반지하/3층,58.8,44.7,북향,2026.06.03,풀옵션; 엘리베이터; 투룸 구조; 기준역 도보권,풀옵션; 엘리베이터; 투룸 구조; 기준역 도보권,2549,690,서울대입구역,7,풀옵션; 엘리베이터; 투룸 구조; 기준역 도보권,,O,X,O,O,X,O,36.48,3.65,3.65,3.65,3.65,D,1.31,8.0,0.0,578.3,0,0.0,578.3,0,6.52,496.8,1,0.0,585.5,0,0.0,485.4,0,25.6,봉천동 투룸 003,서울 관악구 봉천동,37.4821811,126.9604439,1100,67,6,7,2.0
서울대입구역,synthetic_market_model,SYN0004,,봉천동 투룸 004,서울 관악구 봉천동,37.4831574,126.9526622,투룸,2700,81,8,"월세 2,700/81",반지하/4층,54.6,43.5,북향,2026.05.27,옵션 언급; 투룸 구조; 역세권 도보권,옵션 언급; 투룸 구조; 역세권 도보권,2576,215,서울대입구역,7,옵션 언급; 투룸 구조; 역세권 도보권,,X,X,O,X,O,O,49.3,4.93,4.93,4.93,4.93,D,5.7,3.5,10.0,61.5,8,0.0,61.5,0,4.01,691.4,3,7.67,58.0,1,7.47,75.3,7,62.2,봉천동 투룸 004,서울 관악구 봉천동,37.4831574,126.9526622,2700,81,8,7,2.0
서울대입구역,synthetic_market_model,SYN0005,,봉천동 투룸 005,서울 관악구 봉천동,37.486455,126.9561091,투룸,1500,62,6,"월세 1,500/62",3/4층,64.3,45.1,남향,2026.05.18,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 기준역 도보권,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조,2953,655,서울대입구역,8,신축/준신축; 엘리베이터; 주차 가능; 투룸 구조; 채광 양호; 기준역 도보권,,O,O,X,O,X,O,65.15,6.51,6.51,6.51,6.51,B,4.64,10.0,10.0,89.9,9,0.0,89.9,0,1.13,913.3,2,5.41,85.1,2,6.02,89.9,3,86.7,봉천동 투룸 005,서울 관악구 봉천동,37.486455,126.9561091,1500,62,6,8,2.0
서울대입구역,synthetic_market_model,SYN0006,,봉천동 원룸 006,서울 관악구 봉천동,37.4811555,126.9532726,원룸,2200,50,11,"월세 2,200/50",1/4층,32.4,22.7,남서향,2026.05.18,신축/준신축; 엘리베이터; 채광 양호; 역세권 도보권,신축/준신축; 엘리베이터; 채광 양호; 역세권 도보권,2353,49,서울대입구역,8,신축/준신축; 엘리베이터; 채광 양호; 역세권 도보권,,O,X,X,O,X,O,53.56,5.36,5.36,5.36,5.36,C,2.85,10.0,5.15,196.9,4,0.0,196.9,0,6.54,494.4,3,0.0,189.2,0,0.0,172.6,0,68.9,봉천동 원룸 006,서울 관악구 봉천동,37.4811555,126.9532726,2200,50,11,8,2.0
서울대입구역,synthetic_market_model,SYN0007,,봉천동 빌라 007,서울 관악구 봉천동,37.4776845,126.9511528,빌라,1200,59,8,"월세 1,200/59",2/5층,50.6,40.1,남동향,2026.05.18,신축/준신축; 풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,신축/준신축; 풀옵션; 주차 가능; 채광 양호,1975,416,서울대입구역,10,신축/준신축; 풀옵션; 주차 가능; 채광 양호; 즉시입주 가능; 역세권 도보권; 학교 접근성 양호,,O,O,O,O,O,O,44.57,4.46,4.46,4.46,4.46,D,1.47,10.0,0.0,540.2,0,0.0,540.2,0,7.36,388.9,2,0.0,533.4,0,0.0,482.9,0,51.1,봉천동 빌라 007,서울 관악구 봉천동,37.4776845,126.9511528,1200,59,8,10,2.0
서울대입구역,synthetic_market_model,SYN0008,,봉천동 빌라 008,서울 관악구 봉천동,37.4798783,126.9522757,빌라,1900,54,10,"월세 1,900/54",반지하/4층,61.2,43.8,남향,2026.06.09,풀옵션; 채광 양호; 역세권 도보권,풀옵션; 채광 양호; 역세권 도보권,2212,153,서울대입구역,7,풀옵션; 채광 양호; 역세권 도보권,,X,X,O,O,O,O,21.15,2.11,2.11,2.11,2.11,D,1.37,3.5,0.23,295.4,1,0.0,295.4,0,6.5,500.1,2,0.0,287.8,0,0.0,243.6,0,8.9,봉천동 빌라 008,서울 관악구 봉천동,37.4798783,126.9522757,1900,54,10,7,2.0
서울대입구역,synthetic_market_model,SYN0009,,봉천동 원룸 009,서울 관악구 봉천동,37.4813011,126.9529657,원룸,2600,64,13,"월세 2,600/64",고층 14/15층,24.5,18.1,동향,2026.05.18,신축/준신축; 옵션 언급; 주차 가능; 복층; 역세권 도보권,신축/준신축; 옵션 언급; 주차 가능; 복층,2369,24,서울대입구역,9,신축/준신축; 옵션 언급; 주차 가능; 복층; 역세권 도보권,,O,O,X,O,O,O,56.52,5.65,5.65,5.65,5.65,C,3.31,10.0,6.63,167.4,4,0.0,167.4,0,6.17,525.6,3,0.0,159.6,0,0.89,141.1,1,72.2,봉천동 원룸 009,서울 관악구 봉천동,37.4813011,126.9529657,2600,64,13,9,2.0
서울대입구역,synthetic_market_model,SYN0010,,봉천동 분리형원룸 010,서울 관악구 봉천동,37.4816198,126.9526057,분리형원룸,1950,47,11,"월세 1,950/47",반지하/3층,31.9,23.0,남향,2026.05.27,옵션 언급; 분리형; 채광 양호; 역세권 도보권,옵션 언급; 분리형; 채광 양호; 역세권 도보권,2405,45,서울대입구역,8,옵션 언급; 분리형; 채광 양호; 역세권 도보권,,O,X,X,X,X,O,52.36,5.24,5.24,5.24,5.24,C,4.82,6.0,8.99,120.1,6,0.0,120.1,0,5.55,572.7,3,3.14,112.3,1,5.44,95.6,2,66.7,봉천동 분리형원룸 010,서울 관악구 봉천동,37.4816198,126.9526057,1950,47,11,8,2.0
서울대입구역,synthetic_market_model,SYN0011,,봉천동 원룸 011,서울 관악구 봉천동,37.4849849,126.9539595,원룸,2650,51,9,"월세 2,650/51",2/4층,24.2,19.0,북향,2026.05.18,신축/준신축; 풀옵션; 역세권 도보권,신축/준신축; 풀옵션; 역세권 도보권,2779,433,서울대입구역,8,신축/준신축; 풀옵션; 역세권 도보권,,O,O,X,O,X,O,67.36,6.74,6.74,6.74,6.74,B,4.98,10.0,10.0,84.9,11,0.0,84.9,0,2.51,806.9,2,5.5,84.0,2,6.51,84.9,6,88.9,봉천동 원룸 011,서울 관악구 봉천동,37.4849849,126.9539595,2650,51,9,8,2.0
서울대입구역,synthetic_market_model,SYN0012,,봉천동 투룸 012,서울 관악구 봉천동,37.4807105,126.9590818,투룸,2800,62,7,"월세 2,800/62",고층 7/8층,58.2,42.1,동향,2026.05.18,신축/준신축; 풀옵션; 엘리베이터; 투룸 구조; 역세권 도보권,신축/준신축; 풀옵션; 엘리베이터; 투룸 구조,2361,564,서울대입구역,9,신축/준신축; 풀옵션; 엘리베이터; 투룸 구조; 역세권 도보권,,O,O,X,O,X,O,45.52,4.55,4.55,4.55,4.55,D,1.62,10.0,0.0,536.3,0,0.0,536.3,0,8.09,295.7,2,0.0,544.1,0,0.0,418.3,0,55.6,봉천동 투룸 012,서울 관악구 봉천동,37.4807105,126.9590818,2800,62,7,9,2.0
